blocks_file,start,dur,rest,mult_problemB,mult_options,stim_trial,mult_stim,type,ProblemSize,InterferenceLH,InterferenceLevel,mult_type,corrRESP,blocks_set.thisRepN,blocks_set.thisTrialN,blocks_set.thisN,blocks_set.thisIndex,TRIALS.thisRepN,TRIALS.thisTrialN,TRIALS.thisN,TRIALS.thisIndex,timer_loop.thisRepN,timer_loop.thisTrialN,timer_loop.thisN,timer_loop.thisIndex,WAIT_TEXT.started,WAIT_TEXT.stopped,scan_start_trigger.keys,scan_start_trigger.rt,scan_start_trigger.started,scan_start_trigger.stopped,MAIN_SCREEN.started,MAIN_SCREEN.stopped,Block_Text.started,Block_Text.stopped,asterisk500ms.started,asterisk500ms.stopped,mult_question_text.started,mult_question_text.stopped,equal_text.started,equal_text.stopped,blank250_text.started,blank250_text.stopped,Mult_OPTION.started,Mult_OPTION.stopped,Mult_YN.started,Mult_YN.stopped,Mult_Resp.keys,Mult_Resp.corr,Mult_Resp.rt,Mult_Resp.started,Mult_Resp.stopped,Strategy_Q.started,Strategy_Q.stopped,Strategy_Option.started,Strategy_Option.stopped,Strategy_RESP.keys,Strategy_RESP.rt,Strategy_RESP.started,Strategy_RESP.stopped,jitters.started,jitters.stopped,resting_text.started,resting_text.stopped,countdown_timer.started,countdown_timer.stopped,End_Text.started,End_Text.stopped,fixation.started,fixation.stopped,fixation_end.keys,fixation_end.rt,fixation_end.started,fixation_end.stopped,participant,Date of birth (DD/MM/YEAR),gender,Testing Date (DD/MM/YEAR),session,handedness,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,,,,,,,,,,,,,,,31.833981032999873,None,s,19.361210973999732,31.833981032999873,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-26,09/01/2003,2: Female,16/10/2023,002,1: right,2023_Oct_16_1751,[FINAL]_fmri_multiplication,2021.2.3,59.92935000852774
block5.xlsx,10,7.5,4.6,3 x 6,18,7,6 x 3 = 18,small-sized_high-interference,small-sized,high-interference,8,CorrectRESP,a,0,0,0,0,0,0,0,0,,,,,,,,,,,51.21687688,None,56.23612872800004,None,66.25451803499982,None,66.73620432200005,None,68.73315440900024,None,69.48313774899998,None,69.73441905399977,None,69.73441905399977,None,d,0,0.5695983820005495,69.73441905399977,None,70.33269713,None,70.33269713,None,d,0.6512672729995757,70.33269713,None,71.01640157600013,None,,,,,,,,,,,,,sub-26,09/01/2003,2: Female,16/10/2023,002,1: right,2023_Oct_16_1751,[FINAL]_fmri_multiplication,2021.2.3,59.92935000852774
block5.xlsx,22.1,7.5,7,9 x 9,72,16,9 x 9 = 72,large-sized_low-interference,large-sized,low-interference,6,IncorrectRESP,d,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,75.61635656399994,None,76.11715865599945,None,78.11607237399949,None,78.86630396700002,None,79.11794794599973,None,79.11794794599973,None,a,0,0.8179530730003535,79.11794794599973,None,79.96620813699974,None,79.96620813699974,None,d,0.46583398100028717,79.96620813699974,None,80.44920883,None,,,,,,,,,,,,,sub-26,09/01/2003,2: Female,16/10/2023,002,1: right,2023_Oct_16_1751,[FINAL]_fmri_multiplication,2021.2.3,59.92935000852774
block5.xlsx,36.6,7.5,4.4,2 x 6,12,6,6 x 2 = 12,small-sized_low-interference,small-sized,low-interference,3,CorrectRESP,a,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,87.44977933500013,None,87.95019481199961,None,89.95028489699962,None,90.69976200600013,None,90.94962590700015,None,90.94962590700015,None,d,0,0.48244455699932587,90.94962590700015,None,91.44916565199946,None,91.44916565199946,None,d,0.4708271479994437,91.44916565199946,None,91.94977449,None,,,,,,,,,,,,,sub-26,09/01/2003,2: Female,16/10/2023,002,1: right,2023_Oct_16_1751,[FINAL]_fmri_multiplication,2021.2.3,59.92935000852774
block5.xlsx,48.5,7.5,9.6,8 x 3,24,12,3 x 8 = 24,small-sized_high-interference,small-sized,high-interference,13,CorrectRESP,a,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,96.34926004199951,None,96.84923185600019,None,98.84954072799974,None,99.59974023299947,None,99.85030277999977,None,99.85030277999977,None,d,0,0.509725204,99.85030277999977,None,100.38263182599985,None,100.38263182599985,None,d,0.4334987900001579,100.38263182599985,None,100.83311085399964,None,,,,,,,,,,,,,sub-26,09/01/2003,2: Female,16/10/2023,002,1: right,2023_Oct_16_1751,[FINAL]_fmri_multiplication,2021.2.3,59.92935000852774
block5.xlsx,65.6,7.5,5.4,5 x 5,30,3,5 x 5 = 30,small-sized_low-interference,small-sized,low-interference,3,IncorrectRESP,d,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,110.43313289300022,None,110.93374842799949,None,112.9332201999996,None,113.68273803899956,None,113.93421223899986,None,113.93421223899986,None,a,0,0.609856317,113.93421223899986,None,114.56616459599991,None,114.56616459599991,None,d,0.3537808920000316,114.56616459599991,None,114.94992728800025,None,,,,,,,,,,,,,sub-26,09/01/2003,2: Female,16/10/2023,002,1: right,2023_Oct_16_1751,[FINAL]_fmri_multiplication,2021.2.3,59.92935000852774
block5.xlsx,78.5,7.5,7.7,3 x 9,27,19,9 x 3 = 27,large-sized_high-interference,large-sized,high-interference,9,CorrectRESP,a,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,120.35033345699958,None,120.85006365200024,None,122.85026760399978,None,123.6001161969998,None,123.84977348499979,None,123.84977348499979,None,d,0,0.5741572139995696,123.84977348499979,None,124.44960406100017,None,124.44960406100017,None,d,0.3824175110003125,124.44960406100017,None,124.84902788399995,None,,,,,,,,,,,,,sub-26,09/01/2003,2: Female,16/10/2023,002,1: right,2023_Oct_16_1751,[FINAL]_fmri_multiplication,2021.2.3,59.92935000852774
block5.xlsx,93.7,7.5,3.5,2 x 8,18,5,8 x 2 = 18,small-sized_low-interference,small-sized,low-interference,7,IncorrectRESP,d,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,132.54996565799956,None,133.04938740099988,None,135.04888834299982,None,135.81516112899953,None,136.0651261209996,None,136.0651261209996,None,a,0,0.6468365509999785,136.0651261209996,None,136.74625596299938,None,136.74625596299938,None,d,0.41370788000040193,136.74625596299938,None,137.18168071799937,None,,,,,,,,,,,,,sub-26,09/01/2003,2: Female,16/10/2023,002,1: right,2023_Oct_16_1751,[FINAL]_fmri_multiplication,2021.2.3,59.92935000852774
block5.xlsx,104.7,7.5,6.4,7 x 7,49,18,7 x 7 = 49,large-sized_low-interference,large-sized,low-interference,7,CorrectRESP,a,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,140.6826926650001,None,141.18268789000012,None,143.18271550200006,None,143.9329989,None,144.18393734500023,None,144.18393734500023,None,d,0,0.7600333939999473,144.18393734500023,None,144.96593762199973,None,144.96593762199973,None,d,0.41802967300009186,144.96593762199973,None,145.4159452,None,,,,,,,,,,,,,sub-26,09/01/2003,2: Female,16/10/2023,002,1: right,2023_Oct_16_1751,[FINAL]_fmri_multiplication,2021.2.3,59.92935000852774
block5.xlsx,118.6,7.5,3.2,8 x 5,45,21,5 x 8 = 45,large-sized_high-interference,large-sized,high-interference,9,IncorrectRESP,d,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,151.8166884709999,None,152.3166388769996,None,154.31684382099957,None,155.06687758599946,None,155.31674462799947,None,155.31674462799947,None,a,0,0.955300601,155.31674462799947,None,156.29921847599962,None,156.29921847599962,None,d,0.45272991100046056,156.29921847599962,None,156.78370213800008,None,,,,,,,,,,,,,sub-26,09/01/2003,2: Female,16/10/2023,002,1: right,2023_Oct_16_1751,[FINAL]_fmri_multiplication,2021.2.3,59.92935000852774
